id	Chemical	Result
1	0.3	Alive
2	0.3	Alive
3	0.3	Alive
4	0.3	Alive
5	0.3	Alive
6	0.3	Alive
7	0.3	Alive
8	0.3	Alive
9	0.3	Alive
10	0.3	Alive
11	1.3	Alive
12	1.3	Alive
13	1.3	Alive
14	1.3	Alive
15	1.3	Alive
16	1.3	Alive
17	1.3	Alive
18	1.3	Alive
19	1.3	Alive
20	1.3	Alive
21	1.6	Dead
22	1.6	Dead
23	1.6	Alive
24	1.6	Alive
25	1.6	Alive
26	1.6	Alive
27	1.6	Alive
28	1.6	Alive
29	1.6	Alive
30	1.6	Alive
31	1.7	Dead
32	1.7	Dead
33	1.7	Dead
34	1.7	Alive
35	1.7	Alive
36	1.7	Alive
37	1.7	Alive
38	1.7	Alive
39	1.7	Alive
40	1.7	Alive
41	2	Dead
42	2	Dead
43	2	Dead
44	2	Dead
45	2	Alive
46	2	Alive
47	2	Alive
48	2	Alive
49	2	Alive
50	2	Alive
51	2.7	Dead
52	2.7	Dead
53	2.7	Dead
54	2.7	Alive
55	2.7	Alive
56	2.7	Alive
57	2.7	Alive
58	2.7	Alive
59	2.7	Alive
60	2.7	Alive
61	2.8	Dead
62	2.8	Dead
63	2.8	Dead
64	2.8	Dead
65	2.8	Alive
66	2.8	Alive
67	2.8	Alive
68	2.8	Alive
69	2.8	Alive
70	2.8	Alive
71	3	Dead
72	3	Dead
73	3	Dead
74	3	Dead
75	3	Dead
76	3	Dead
77	3	Dead
78	3	Dead
79	3	Alive
80	3	Alive
81	3.8	Dead
82	3.8	Dead
83	3.8	Dead
84	3.8	Dead
85	3.8	Dead
86	3.8	Dead
87	3.8	Dead
88	3.8	Dead
89	3.8	Dead
90	3.8	Alive
91	4	Dead
92	4	Dead
93	4	Dead
94	4	Dead
95	4	Dead
96	4	Dead
97	4	Dead
98	4	Dead
99	4	Dead
100	4	Dead
101	5	Dead
102	5	Dead
103	5	Dead
104	5	Dead
105	5	Dead
106	5	Dead
107	5	Dead
108	5	Dead
109	5	Dead
110	5	Dead
