C813	R902	HD93
B	B	100.461538
B	B	98.6666667
B	A	120
A	A	114.153846
A	B	105.846154
A	B	96.6153846
A	B	103.076923
B	A	134.923077
A	A	111.846154
A	A	113.692308
B	A	107.692308
A	B	103.538462
B	B	109.083333
A	A	126.461538
B	A	119.692308
A	A	111.230769
B	B	104.615385
A	B	99.5384615
B	A	126.769231
B	B	121.230769
B	A	116.615385
B	A	136.153846
A	A	113.230769
A	B	105.538462
A	B	101.230769
B	A	143
A	B	114
A	A	128.153846
A	B	100
B	B	114.461538
B	B	96.6153846
A	A	114.461538
A	A	124.769231
A	B	110.461538
A	B	101.692308
A	A	106.923077
B	B	100.166667
B	B	109.846154
B	A	115.076923
A	B	101.230769
A	B	109.538462
B	B	105.076923
A	A	107.692308
A	B	100.307692
B	A	116.769231
B	A	104.769231
A	B	104.153846
A	A	126.153846
B	A	120.307692
A	A	133.8
B	A	100.153846
B	B	101.538462
A	B	93.8461538
B	B	112.923077
A	A	129.384615
B	B	106.769231
A	A	110.769231
A	B	99.3846154
A	B	110.153846
A	B	95.0769231
B	A	104.923077
A	A	111.076923
A	A	114
A	B	102.923077
A	B	98.6153846
A	B	110.153846
A	A	121.384615
A	B	96.4615385
A	B	111.538462
A	B	102.923077
A	B	108.769231
