Line	DTH	CL	PN	PL	RL	PBN	SBN	SN
Line1	98 	112.0 	7.0 	26.7 	19.6 	12.7 	41.3 	206.3 
Line2	87 	95.7 	9.0 	23.4 	18.6 	12.7 	39.0 	199.0 
Line3	93 	109.7 	9.0 	24.6 	20.7 	16.7 	36.0 	210.0 
Line4	89 	82.6 	9.0 	22.8 	16.1 	9.7 	26.3 	139.7 
Line5	98 	103.1 	11.0 	23.1 	17.1 	10.3 	24.3 	136.0 
Line6	98 	112.7 	7.0 	27.1 	21.8 	12.7 	34.0 	184.7 
Line7	91 	112.7 	10.0 	31.8 	23.7 	13.7 	37.7 	223.7 
Line8	111 	110.1 	8.0 	25.9 	15.8 	12.3 	48.3 	206.0 
Line9	97 	115.5 	7.0 	23.1 	12.1 	12.7 	38.3 	188.0 
Line10	108 	113.4 	7.0 	24.2 	20.6 	14.7 	37.3 	192.3 
Line11	98 	108.7 	7.0 	23.4 	19.0 	13.0 	29.3 	164.3 
Line12	95 	116.5 	9.0 	25.6 	21.5 	13.3 	37.7 	180.7 
Line13	87 	103.4 	8.0 	20.7 	14.7 	11.7 	35.7 	172.3 
Line14	109 	94.1 	9.0 	26.5 	14.1 	13.3 	44.3 	220.7 
Line15	88 	93.6 	10.0 	22.6 	17.5 	11.3 	22.3 	138.3 
Line16	111 	102.9 	8.0 	26.8 	19.7 	14.0 	45.0 	221.0 
Line17	86 	83.9 	11.0 	20.3 	15.9 	12.3 	25.3 	132.7 
Line18	97 	110.6 	9.0 	25.3 	17.7 	12.0 	31.7 	162.3 
Line19	105 	85.5 	11.0 	23.5 	18.0 	10.3 	30.0 	154.0 
Line20	96 	105.5 	9.0 	24.5 	15.5 	12.0 	28.0 	138.3 
Line21	88 	95.1 	10.0 	22.2 	16.4 	11.3 	22.3 	140.3 
Line22	111 	114.0 	9.0 	24.9 	19.8 	11.7 	35.3 	200.7 
Line23	96 	89.1 	9.0 	22.2 	15.7 	10.3 	27.0 	144.3 
Line24	94 	72.7 	12.0 	21.0 	16.2 	11.7 	22.7 	132.0 
Line25	108 	106.8 	11.0 	26.5 	17.5 	12.3 	39.0 	190.0 
Line26	89 	81.9 	10.0 	21.5 	14.9 	11.0 	29.0 	150.0 
Line27	113 	85.3 	11.0 	24.3 	14.7 	10.7 	29.0 	158.3 
Line28	111 	110.3 	11.0 	26.5 	20.4 	12.0 	32.7 	169.0 
Line29	111 	84.7 	9.0 	24.2 	15.1 	11.3 	31.3 	151.7 
Line30	109 	99.6 	10.0 	25.9 	16.6 	13.3 	43.0 	194.0 
Line31	102 	96.0 	10.0 	24.2 	18.5 	13.0 	34.0 	178.3 
Line32	86 	79.4 	10.0 	22.1 	17.6 	11.0 	17.3 	112.7 
Line33	96 	93.4 	11.0 	23.8 	17.4 	10.3 	27.3 	140.7 
Line34	84 	71.1 	11.0 	20.8 	16.0 	11.7 	27.7 	151.3 
Line35	112 	89.1 	11.0 	21.4 	16.5 	10.7 	35.3 	192.7 
Line36	96 	88.1 	10.0 	22.2 	16.4 	10.0 	25.3 	135.0 
Line37	79 	86.2 	10.0 	23.5 	17.5 	10.0 	23.7 	144.0 
Line38	91 	91.9 	10.0 	22.6 	17.9 	12.0 	23.7 	135.3 
Line39	88 	81.9 	11.0 	20.5 	15.3 	11.3 	29.0 	162.7 
Line40	88 	70.2 	10.0 	21.4 	15.6 	9.3 	20.3 	117.3 
Line41	98 	89.6 	12.0 	20.3 	14.3 	12.0 	16.7 	112.0 
Line42	91 	88.0 	12.0 	22.6 	16.9 	10.3 	24.0 	127.0 
Line43	105 	87.2 	10.5 	26.9 	19.4 	10.3 	25.0 	133.3 
Line44	95 	78.2 	12.0 	21.6 	16.1 	9.3 	18.7 	110.7 
Line45	111 	105.6 	10.0 	27.3 	17.1 	13.3 	35.3 	165.3 
Line46	105 	74.2 	12.0 	22.7 	17.8 	11.7 	26.0 	141.3 
Line47	91 	85.5 	10.0 	22.5 	14.5 	10.7 	22.3 	124.7 
Line48	100 	95.5 	9.0 	23.2 	14.8 	12.7 	29.3 	163.3 
